comment_id,comment_text,account_age_days,posting_frequency_per_min,similarity_to_trending,engagement_rate,is_it_cell
C0101,Follow my account for free premium tips and tricks. Guaranteed success!,17,11.57,0.793,33.85,1
C0102,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",920,0.95,0.181,10.43,0
C0103,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,5,5.6,0.814,20.29,1
C0104,Just finished reading this book. Highly recommend it to everyone. 👍,1084,0.16,0.0,18.39,0
C0105,Follow my account for free premium tips and tricks. Guaranteed success! #JOINNOW,4,12.97,1.0,37.57,1
C0106,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1420,0.55,0.265,17.13,0
C0107,Struggling with coding errors all day... need a break lol.,866,0.19,0.123,19.45,0
C0108,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,8,15.51,0.927,38.1,1
C0109,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",15,15.54,0.784,43.7,1
C0110,This channel is biased and spreading fake propaganda. Ban them! #MUSTWATCH,46,3.32,0.995,6.86,1
C0111,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #JOINNOW,60,11.94,0.896,31.01,1
C0112,"I don't agree with your opinion, but I appreciate the respectful debate here. ...",134,0.5,0.19,17.61,0
C0113,"Haha that is so funny, thanks for making my day! 👍",223,0.46,0.142,6.49,0
C0114,"Haha that is so funny, thanks for making my day!",995,0.72,0.121,22.28,0
C0115,"Wow, that sunset is gorgeous! Thanks for sharing the photo. ...",672,0.37,0.102,7.92,0
C0116,That match last night was insane! What a finish in the last minute.,576,0.07,0.131,12.29,0
C0117,Does anyone know if the local train is running on schedule today? ...,30,0.47,0.154,14.57,0
C0118,Beautiful weather today. Going out for a cup of coffee. ...,1281,0.76,0.088,8.32,0
C0119,Don't listen to this fake news! The truth is hidden by mainstream media! #MUSTWATCH,8,14.32,0.767,33.49,1
C0120,I absolutely love this new update! The UI looks clean and crisp.,193,0.91,0.314,10.75,0
C0121,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,2,15.41,0.681,43.51,1
C0122,"I'm not sure if this is correct, but let's see how it goes.",1187,0.21,0.158,19.62,0
C0123,Unbelievable development! Best leader of all time! Truly visionary leadership! #JOINNOW,9,2.17,0.709,5.71,1
C0124,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,1,7.75,0.721,22.01,1
C0125,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",67,10.6,1.0,30.79,1
C0126,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,47,8.5,0.8,31.02,1
C0127,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,42,16.06,0.676,42.48,1
C0128,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #MUSTWATCH,11,17.58,0.643,42.66,1
C0129,This channel is biased and spreading fake propaganda. Ban them!,130,15.77,0.632,39.61,1
C0130,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #MUSTWATCH,4,10.17,0.725,29.08,1
C0131,"I don't agree with your opinion, but I appreciate the respectful debate here.",634,0.25,0.095,1.0,0
C0132,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,122,14.74,0.771,33.03,1
C0133,"Wow, that sunset is gorgeous! Thanks for sharing the photo. !!",569,0.73,0.2,7.11,0
C0134,Unbelievable development! Best leader of all time! Truly visionary leadership!,80,20.17,0.994,54.22,1
C0135,This is completely fake! Stop spreading negative rumors immediately!,7,8.95,0.708,21.61,1
C0136,Beautiful weather today. Going out for a cup of coffee.,148,0.51,0.176,7.48,0
C0137,Unbelievable development! Best leader of all time! Truly visionary leadership! #MUSTWATCH,11,7.44,0.832,31.4,1
C0138,This person is a traitor! Stop spreading lies about our great country!,2,5.56,0.697,17.65,1
C0139,That match last night was insane! What a finish in the last minute.,1202,0.33,0.234,6.35,0
C0140,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,43,9.11,1.0,20.31,1
C0141,Boycott this movie! It hurts community sentiments! #BoycottTrending,80,7.87,0.845,18.86,1
C0142,Struggling with coding errors all day... need a break lol.,834,0.45,0.267,13.27,0
C0143,Just finished reading this book. Highly recommend it to everyone.,935,0.38,0.101,9.84,0
C0144,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,6,14.17,0.924,33.5,1
C0145,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #MUSTWATCH,63,13.44,0.944,34.23,1
C0146,I absolutely love this new update! The UI looks clean and crisp.,30,0.2,0.0,10.24,0
C0147,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #MUSTWATCH,42,5.68,0.802,16.38,1
C0148,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,24,15.29,0.828,44.34,1
C0149,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",208,0.84,0.184,9.92,0
C0150,This person is a traitor! Stop spreading lies about our great country!,30,15.86,0.81,41.69,1
C0151,"Haha that is so funny, thanks for making my day! 😊",961,0.17,0.068,19.55,0
C0152,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,63,13.61,0.925,34.34,1
C0153,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,4,17.15,0.747,46.39,1
C0154,"This recipe looks delicious, definitely trying it out this Sunday!",578,0.79,0.247,18.93,0
C0155,Unbelievable development! Best leader of all time! Truly visionary leadership!,24,16.03,0.707,40.14,1
C0156,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,7,12.68,0.9,33.68,1
C0157,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,89,2.7,0.834,3.92,1
C0158,"Wow, that sunset is gorgeous! Thanks for sharing the photo. ...",1778,0.54,0.161,15.63,0
C0159,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,36,12.87,0.853,36.13,1
C0160,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #ALERT,28,7.44,0.991,20.67,1
C0161,That match last night was insane! What a finish in the last minute.,404,0.46,0.156,17.47,0
C0162,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,27,9.65,0.784,30.99,1
C0163,This channel is biased and spreading fake propaganda. Ban them!,1,9.67,0.679,24.16,1
C0164,Can someone explain how to solve the 3rd question in the ML assignment?,1129,0.52,0.021,5.52,0
C0165,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",665,1.0,0.124,4.48,0
C0166,This person is a traitor! Stop spreading lies about our great country!,5,11.97,0.642,37.09,1
C0167,This person is a traitor! Stop spreading lies about our great country!,14,11.37,1.0,36.1,1
C0168,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,1,7.93,0.862,22.38,1
C0169,What a great performance by the team. Very happy with the result. !!,734,0.5,0.166,8.61,0
C0170,Boycott this movie! It hurts community sentiments! #BoycottTrending,42,12.6,0.824,33.97,1
C0171,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,7,22.28,0.667,64.52,1
C0172,"This recipe looks delicious, definitely trying it out this Sunday!",30,0.05,0.026,6.11,0
C0173,Boycott this movie! It hurts community sentiments! #BoycottTrending,7,12.81,0.631,34.34,1
C0174,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,31,10.55,0.792,31.28,1
C0175,What a great performance by the team. Very happy with the result.,490,0.47,0.153,8.48,0
C0176,The customer service was really helpful and sorted my issue in 5 minutes.,508,0.53,0.137,14.5,0
C0177,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,9,7.79,0.771,22.9,1
C0178,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1084,0.63,0.114,17.8,0
C0179,What a great performance by the team. Very happy with the result.,367,0.68,0.209,10.45,0
C0180,That match last night was insane! What a finish in the last minute.,930,0.12,0.242,11.08,0
C0181,"This recipe looks delicious, definitely trying it out this Sunday!",590,0.81,0.08,4.96,0
C0182,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,27,15.03,0.63,44.97,1
C0183,Earn passive income easily. Sign up using code BOT999. Real cash!,18,3.32,0.825,12.11,1
C0184,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",582,0.62,0.146,17.52,0
C0185,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #JOINNOW,68,10.66,0.962,34.72,1
C0186,"I'm not sure if this is correct, but let's see how it goes.",1068,0.31,0.108,5.56,0
C0187,Beautiful weather today. Going out for a cup of coffee. !!,840,0.05,0.205,22.03,0
C0188,Beautiful weather today. Going out for a cup of coffee.,1087,0.36,0.203,20.1,0
C0189,The customer service was really helpful and sorted my issue in 5 minutes. ...,1428,0.2,0.201,11.21,0
C0190,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,15,15.23,0.725,42.4,1
C0191,"I'm not sure if this is correct, but let's see how it goes. haha",1007,0.28,0.169,8.22,0
C0192,The customer service was really helpful and sorted my issue in 5 minutes.,555,0.08,0.058,5.24,0
C0193,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,39,14.3,0.59,45.04,1
C0194,This is completely fake! Stop spreading negative rumors immediately!,83,10.78,0.697,29.9,1
C0195,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",569,0.54,0.406,11.52,0
C0196,Earn passive income easily. Sign up using code BOT999. Real cash! #MUSTWATCH,13,10.59,0.829,31.36,1
C0197,"I don't agree with your opinion, but I appreciate the respectful debate here.",666,1.09,0.145,4.21,0
C0198,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,52,10.4,0.876,31.32,1
C0199,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #ALERT,10,4.95,0.937,12.92,1
C0200,Does anyone know if the local train is running on schedule today? ...,709,0.82,0.162,16.08,0
C0201,Does anyone know if the local train is running on schedule today?,1047,0.89,0.256,9.73,0
C0202,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #JOINNOW,21,14.53,0.852,40.9,1
C0203,Boycott this movie! It hurts community sentiments! #BoycottTrending,6,15.27,0.816,44.21,1
C0204,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,107,11.15,0.795,29.57,1
C0205,This channel is biased and spreading fake propaganda. Ban them!,60,10.14,0.906,23.13,1
C0206,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,4,14.0,0.827,38.36,1
C0207,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,13,10.96,0.816,32.99,1
C0208,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",47,4.28,0.924,8.89,1
C0209,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,66,6.6,0.87,20.34,1
C0210,This channel is biased and spreading fake propaganda. Ban them!,49,12.19,0.738,37.25,1
C0211,Follow my account for free premium tips and tricks. Guaranteed success!,20,15.68,0.838,38.15,1
C0212,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",96,0.24,0.229,10.5,0
C0213,Boycott this movie! It hurts community sentiments! #BoycottTrending,11,8.78,0.68,24.1,1
C0214,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",786,0.57,0.305,7.01,0
C0215,Boycott this movie! It hurts community sentiments! #BoycottTrending #MUSTWATCH,8,11.34,0.701,39.88,1
C0216,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,6,9.34,0.82,29.53,1
C0217,That match last night was insane! What a finish in the last minute.,915,1.24,0.086,9.35,0
C0218,Boycott this movie! It hurts community sentiments! #BoycottTrending,8,14.22,0.725,38.66,1
C0219,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,105,11.33,0.97,26.36,1
C0220,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,36,13.37,0.755,34.51,1
C0221,Don't listen to this fake news! The truth is hidden by mainstream media!,24,9.19,0.986,32.16,1
C0222,"I don't agree with your opinion, but I appreciate the respectful debate here.",554,0.38,0.179,13.67,0
C0223,Beautiful weather today. Going out for a cup of coffee.,1063,1.1,0.132,8.01,0
C0224,Don't listen to this fake news! The truth is hidden by mainstream media! #JOINNOW,14,15.54,0.686,40.63,1
C0225,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,8,11.97,0.738,35.2,1
C0226,"I don't agree with your opinion, but I appreciate the respectful debate here.",793,0.86,0.403,9.35,0
C0227,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",604,0.81,0.218,21.23,0
C0228,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #JOINNOW,10,12.96,0.837,39.7,1
C0229,This is completely fake! Stop spreading negative rumors immediately! #JOINNOW,61,13.69,0.898,37.7,1
C0230,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #JOINNOW,36,16.03,0.984,41.33,1
C0231,Boycott this movie! It hurts community sentiments! #BoycottTrending,64,13.92,0.78,37.04,1
C0232,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #ALERT",13,9.24,0.859,28.7,1
C0233,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,22,13.6,0.823,38.04,1
C0234,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,30,15.01,0.638,45.51,1
C0235,Can someone explain how to solve the 3rd question in the ML assignment?,885,0.58,0.11,14.69,0
C0236,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,13,12.19,0.873,35.38,1
C0237,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,4,12.7,0.849,35.99,1
C0238,"I'm not sure if this is correct, but let's see how it goes.",638,0.39,0.167,2.95,0
C0239,This channel is biased and spreading fake propaganda. Ban them!,30,15.86,0.733,44.28,1
C0240,Don't listen to this fake news! The truth is hidden by mainstream media!,43,11.48,0.556,33.75,1
C0241,The customer service was really helpful and sorted my issue in 5 minutes. 😊,1232,0.05,0.109,5.85,0
C0242,Just finished reading this book. Highly recommend it to everyone.,728,0.69,0.249,17.61,0
C0243,Can someone explain how to solve the 3rd question in the ML assignment?,1324,0.43,0.035,11.43,0
C0244,Can someone explain how to solve the 3rd question in the ML assignment?,1053,0.13,0.316,16.49,0
C0245,This is completely fake! Stop spreading negative rumors immediately!,8,11.17,0.65,36.86,1
C0246,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,60,14.02,0.797,37.86,1
C0247,This is completely fake! Stop spreading negative rumors immediately! #MUSTWATCH,45,11.08,0.868,31.79,1
C0248,"Haha that is so funny, thanks for making my day!",1057,0.9,0.17,15.55,0
C0249,Does anyone know if the local train is running on schedule today?,764,0.93,0.082,21.0,0
C0250,Just finished reading this book. Highly recommend it to everyone.,783,0.07,0.163,8.59,0
C0251,Earn passive income easily. Sign up using code BOT999. Real cash!,10,9.46,0.919,27.32,1
C0252,Can someone explain how to solve the 3rd question in the ML assignment? !!,789,0.45,0.081,24.36,0
C0253,Boycott this movie! It hurts community sentiments! #BoycottTrending,11,10.02,0.894,30.78,1
C0254,This is completely fake! Stop spreading negative rumors immediately!,46,11.9,0.731,31.66,1
C0255,Follow my account for free premium tips and tricks. Guaranteed success!,130,10.39,0.8,21.0,1
C0256,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,29,14.1,1.0,36.17,1
C0257,This is completely fake! Stop spreading negative rumors immediately!,13,12.15,0.68,33.88,1
C0258,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,26,15.96,0.875,42.12,1
C0259,"I'm not sure if this is correct, but let's see how it goes.",622,0.58,0.07,21.06,0
C0260,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,62,13.43,0.907,37.38,1
C0261,"This recipe looks delicious, definitely trying it out this Sunday!",1219,0.34,0.282,12.99,0
C0262,This channel is biased and spreading fake propaganda. Ban them!,19,13.61,1.0,36.97,1
C0263,Unbelievable development! Best leader of all time! Truly visionary leadership! #MUSTWATCH,2,12.82,0.722,35.5,1
C0264,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,62,7.87,0.736,23.43,1
C0265,Unbelievable development! Best leader of all time! Truly visionary leadership!,21,16.52,1.0,46.56,1
C0266,"I don't agree with your opinion, but I appreciate the respectful debate here.",815,0.54,0.211,6.89,0
C0267,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,3,16.36,0.787,48.55,1
C0268,"This recipe looks delicious, definitely trying it out this Sunday!",1149,0.05,0.06,4.19,0
C0269,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,39,20.01,0.929,52.96,1
C0270,Earn passive income easily. Sign up using code BOT999. Real cash!,70,5.47,0.731,17.58,1
C0271,Just finished reading this book. Highly recommend it to everyone. ...,871,0.66,0.025,18.88,0
